Samples,FA_ID,FAME,value
DAPw,n-3:n-6,Omega ratio,1.58
DAPw,DHA:EPA,Essential ratio,0.03
CALAw,C20:0,terrFA,0.7
CALAw,C22:0,terrFA,1.04
CALAw,C23:0,terrFA,0
CALAw,C24:0,terrFA,0.21
CALAw,C17:0,SAFA,1.41
CALAw,C18:0,SAFA,5.49
CALAw,C21:0,SAFA,0
CALAw,C14:0,BAFA,5.24
CALAw,C15:0,BAFA,2.09
CALAw,C16:0,BAFA,17.83
CALAw,C18:1n-12,MUFA,0
CALAw,C24:1n-9,MUFA,0.91
CALAw,C22:1n-9,MUFA,0
CALAw,C20:1n-9,MUFA,0
CALAw,C18:1n-9cis,BAFA,5.75
CALAw,C18:1n-9trans,BAFA,1.56
CALAw,C16:1n-9,MUFA,0
CALAw,C18:1n-7,MUFA,7.5
CALAw,C17:1n-7,MUFA,0
CALAw,C16:1n-7,MUFA,14.49
CALAw,C18:1n-6,MUFA,0
CALAw,C15:1n-5,MUFA,0
CALAw,C14:1n-5,MUFA,0
CALAw,iso-15:0,BAFA,7.42
CALAw,anteiso-15:0,BAFA,1.64
CALAw,iso-16:0,BAFA,2.59
CALAw,iso-17:0,BAFA,1.42
CALAw,"9,10 16",BAFA,0
CALAw,"9,10 18",BAFA,0
CALAw,C18:2n-6trans,n-6 PUFA,0
CALAw,C18:2n-6cis,n-6 PUFA,3.95
CALAw,C18:3n-6,n-6 PUFA,1.29
CALAw,C20:2n-6,n-6 PUFA,0.4
CALAw,C20:3n-6,n-6 PUFA,0.26
CALAw,C20:4n-6,n-6 PUFA,8.07
CALAw,C22:2n-6,n-6 PUFA,0
CALAw,C22:4n-6,n-6 PUFA,1.82
CALAw,C18:3n-3,n-3 PUFA,4.8
CALAw,C18:4n-3,n-3 PUFA,2.54
CALAw,C20:3n-3,n-3 PUFA,0
CALAw,C20:4n-3,n-3 PUFA,0.35
CALAw,C20:5n-3,n-3 PUFA,15.61
CALAw,C22:3n-3,n-3 PUFA,0
CALAw,C22:5n-3,n-3 PUFA,0.81
CALAw,C22:6n-3,n-3 PUFA,17.94
CALAw,n-3:n-6,Omega ratio,2.66
CALAw,DHA:EPA,Essential ratio,1.15
CALAa,C20:0,terrFA,0.375
CALAa,C22:0,terrFA,0.68
CALAa,C23:0,terrFA,0.17
CALAa,C24:0,terrFA,0.19
CALAa,C17:0,SAFA,1.11
CALAa,C18:0,SAFA,4.155
CALAa,C21:0,SAFA,0
CALAa,C14:0,BAFA,2.945
CALAa,C15:0,BAFA,1.335
CALAa,C16:0,BAFA,12.705
CALAa,C18:1n-12,MUFA,0
CALAa,C24:1n-9,MUFA,0.505
CALAa,C22:1n-9,MUFA,0
CALAa,C20:1n-9,MUFA,0
CALAa,C18:1n-9cis,BAFA,2.42
CALAa,C18:1n-9trans,BAFA,0.915
CALAa,C16:1n-9,MUFA,0.37
CALAa,C18:1n-7,MUFA,4.515
CALAa,C17:1n-7,MUFA,0
CALAa,C16:1n-7,MUFA,6.93
CALAa,C18:1n-6,MUFA,0
CALAa,C15:1n-5,MUFA,0
CALAa,C14:1n-5,MUFA,0
CALAa,iso-15:0,BAFA,2.79
CALAa,anteiso-15:0,BAFA,0.62
CALAa,iso-16:0,BAFA,1.41
CALAa,iso-17:0,BAFA,1.235
CALAa,"9,10 16",BAFA,0
CALAa,"9,10 18",BAFA,0
CALAa,C18:2n-6trans,n-6 PUFA,0
CALAa,C18:2n-6cis,n-6 PUFA,2.31
CALAa,C18:3n-6,n-6 PUFA,0.62
CALAa,C20:2n-6,n-6 PUFA,0.24
CALAa,C20:3n-6,n-6 PUFA,0.145
CALAa,C20:4n-6,n-6 PUFA,5.36
CALAa,C22:2n-6,n-6 PUFA,0
CALAa,C22:4n-6,n-6 PUFA,0.43
CALAa,C18:3n-3,n-3 PUFA,3.13
CALAa,C18:4n-3,n-3 PUFA,2
CALAa,C20:3n-3,n-3 PUFA,0
CALAa,C20:4n-3,n-3 PUFA,0.255
CALAa,C20:5n-3,n-3 PUFA,12.255
CALAa,C22:3n-3,n-3 PUFA,0
CALAa,C22:5n-3,n-3 PUFA,0.59
CALAa,C22:6n-3,n-3 PUFA,12.67
CALAa,n-3:n-6,Omega ratio,3.395
CALAa,DHA:EPA,Essential ratio,1.035
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
